Unique_ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,unit_faculty,demographic_sex
1697,123,86.22,50,45.52,71.55,30.75,21.14,93.5,53.66,6.5,0.81,0.81,0,0,0,0,5.69,10.57,15.45,12.2,5.69,6.5,0.81,17.07,5.69,3.25,2.44,0,1.63,3.25,2.44,0,0,0,0,5.69,0,0,0,0,12.2,3.25,2.44,2.44,2.44,0,4.07,1.63,0,0.81,0,2.44,0,1.63,0.81,0,9.76,3.25,1.63,5.69,0.81,0,4.88,11.38,0,14.63,0,11.38,2.44,8.94,2.44,0.81,0,0,0.81,0.81,0,0,0,0.81,0,8.94,3.25,4.07,0,0,0,0,0,0,0,1.63,0,Faculty of Information Technology,F
74,51,96.2,83.66,1.49,90.49,8.5,37.25,76.47,37.25,1.96,0,0,0,0,0,0,1.96,9.8,11.76,3.92,3.92,7.84,0,5.88,5.88,5.88,1.96,1.96,5.88,3.92,3.92,0,0,0,0,9.8,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,9.8,3.92,3.92,1.96,0,0,1.96,5.88,0,7.84,3.92,1.96,1.96,5.88,0,0,1.96,0,0,0,0,0,0,0,0,35.29,17.65,1.96,1.96,0,0,0,13.73,0,0,0,0,Faculty of Information Technology,M
987,22,44.96,1.2,99,94.75,7.33,4.55,86.36,59.09,13.64,13.64,13.64,0,0,0,0,0,9.09,13.64,9.09,9.09,9.09,4.55,18.18,4.55,0,4.55,4.55,4.55,4.55,4.55,0,0,0,0,0,0,0,0,0,27.27,9.09,9.09,0,4.55,0,4.55,0,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,4.55,13.64,0,13.64,0,9.09,4.55,4.55,0,0,4.55,0,0,0,0,0,0,0,0,18.18,13.64,0,0,0,0,0,0,0,4.55,0,0,Faculty of Information Technology,F
548,37,97.01,60.66,54.14,25.77,18.5,16.22,83.78,54.05,10.81,5.41,2.7,2.7,0,0,0,5.41,13.51,18.92,8.11,5.41,2.7,0,10.81,2.7,2.7,0,5.41,5.41,0,0,0,0,0,0,2.7,0,0,0,0,18.92,10.81,5.41,5.41,8.11,0,0,0,0,0,0,0,0,0,0,0,5.41,2.7,0,2.7,0,0,0,8.11,0,13.51,0,10.81,0,5.41,0,0,0,0,0,0,0,0,0,0,0,16.22,0,8.11,0,0,5.41,0,0,0,2.7,0,0,Faculty of Information Technology,F
2193,108,99,46.3,28.5,98.27,12,26.85,71.3,28.7,1.85,0,0,0,0,0,0,1.85,10.19,12.96,2.78,0,0.93,0,6.48,8.33,1.85,0,0,1.85,5.56,5.56,0,0,0,0,0,0,0,0,0,16.67,7.41,3.7,0,3.7,0.93,0.93,8.33,8.33,0,0,0,0,0,0,0,6.48,0,0,6.48,0,0,2.78,3.7,0,9.26,0,7.41,1.85,0,0,1.85,5.56,0,0,1.85,0,1.85,0.93,0,0,37.96,10.19,3.7,0,0,0,0,5.56,3.7,0,0,14.81,Faculty of Information Technology,M
782,88,69.94,28.49,19.82,25.77,88,10.23,70.45,54.55,7.95,3.41,2.27,1.14,0,0,0,4.55,10.23,11.36,13.64,5.68,5.68,2.27,14.77,3.41,2.27,2.27,13.64,3.41,2.27,1.14,1.14,0,0,1.14,1.14,0,0,0,0,9.09,0,4.55,1.14,0,0,3.41,0,0,0,0,0,0,0,0,0,7.95,1.14,1.14,2.27,3.41,0,4.55,15.91,0,11.36,0,3.41,6.82,0,0,0,0,0,0,1.14,0,1.14,0,0,0,37.5,1.14,13.64,5.68,0,0,0,4.55,0,2.27,2.27,7.95,Faculty of Information Technology,F
871,50,52.71,27.43,69.14,25.77,16.67,14,66,46,20,10,10,0,0,0,0,10,4,12,4,4,8,0,18,2,2,6,18,0,0,0,0,0,0,0,4,0,0,0,0,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,6,0,0,6,10,0,6,0,4,2,0,0,0,0,0,0,2,0,2,0,0,0,10,6,0,0,0,0,0,0,0,0,0,4,Faculty of Information Technology,M
2392,16,56.25,73.4,95.6,99,5.33,12.5,93.75,43.75,18.75,18.75,12.5,0,6.25,0,0,0,0,12.5,6.25,6.25,0,0,18.75,0,0,0,0,12.5,6.25,6.25,0,0,0,0,12.5,0,0,0,0,12.5,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,0,6.25,6.25,0,0,25,0,12.5,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,6.25,0,0,6.25,0,0,0,0,0,0,Faculty of Information Technology,M
2772,81,21.28,54.9,26.79,25.77,20.25,8.64,75.31,55.56,17.28,7.41,2.47,0,4.94,0,0,9.88,6.17,7.41,7.41,7.41,11.11,2.47,17.28,0,0,2.47,0,2.47,0,0,0,0,0,0,7.41,0,0,0,0,12.35,1.23,0,3.7,7.41,1.23,6.17,4.94,4.94,0,0,0,0,0,0,0,2.47,0,2.47,0,0,0,1.23,14.81,3.7,11.11,1.23,4.94,4.94,3.7,0,0,0,0,0,0,0,0,0,0,0,7.41,4.94,1.23,0,0,0,0,0,0,1.23,0,0,Faculty of Information Technology,M
2177,16,56.25,26.6,35.37,25.77,16,18.75,56.25,37.5,12.5,6.25,6.25,0,0,0,0,6.25,6.25,6.25,12.5,6.25,0,0,18.75,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,12.5,0,0,0,0,6.25,0,0,0,0,Faculty of Information Technology,M
292,59,89.5,75.12,16.91,1,29.5,30.51,79.66,45.76,10.17,8.47,3.39,3.39,1.69,0,0,1.69,8.47,13.56,6.78,1.69,6.78,0,15.25,3.39,1.69,0,1.69,3.39,8.47,1.69,6.78,6.78,0,0,8.47,0,0,0,0,18.64,6.78,0,3.39,10.17,1.69,3.39,0,0,0,0,1.69,0,1.69,0,0,15.25,6.78,0,6.78,1.69,0,5.08,6.78,0,5.08,0,5.08,0,5.08,0,0,0,0,0,0,0,0,0,0,0,35.59,5.08,6.78,1.69,0,1.69,0,0,13.56,0,6.78,0,Faculty of Information Technology,M
3424,41,54.1,95.59,14.43,71.55,10.25,24.39,85.37,41.46,17.07,9.76,2.44,0,4.88,0,2.44,7.32,2.44,12.2,9.76,2.44,4.88,0,24.39,9.76,7.32,2.44,2.44,7.32,7.32,4.88,2.44,2.44,0,0,21.95,0,2.44,0,0,26.83,7.32,2.44,4.88,12.2,0,7.32,2.44,0,2.44,0,0,0,0,0,0,7.32,4.88,2.44,2.44,0,0,2.44,17.07,0,2.44,2.44,0,0,4.88,2.44,0,0,0,0,0,0,0,0,0,0,17.07,2.44,2.44,0,0,4.88,0,0,4.88,2.44,0,0,Faculty of Information Technology,M
3343,6,1.92,4.8,23.51,99,6,16.67,83.33,50,16.67,16.67,16.67,0,0,0,0,0,0,0,33.33,0,0,0,50,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,33.33,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faculty of Information Technology,M
3130,29,95.92,50,47.93,25.77,29,27.59,82.76,55.17,10.34,0,0,0,0,0,0,10.34,10.34,20.69,6.9,3.45,3.45,3.45,10.34,0,0,0,3.45,0,0,0,0,0,0,0,10.34,0,0,0,0,13.79,3.45,0,0,6.9,0,6.9,0,0,0,0,0,0,0,0,0,13.79,6.9,3.45,6.9,0,0,0,10.34,0,10.34,0,6.9,3.45,13.79,3.45,0,0,0,0,0,0,0,0,0,0,6.9,0,3.45,0,0,3.45,0,0,0,0,0,0,Faculty of Information Technology,M
3791,107,96.61,50,35.01,13.19,17.83,32.71,77.57,39.25,6.54,0,0,0,0,0,0,6.54,6.54,15.89,6.54,0.93,3.74,0,13.08,6.54,2.8,0.93,0.93,1.87,6.54,2.8,3.74,1.87,0,0,1.87,0,0,0,0,18.69,6.54,8.41,3.74,0.93,0,1.87,0.93,0,0,0,1.87,0,1.87,0,0,14.02,0.93,3.74,4.67,2.8,3.74,1.87,6.54,0,14.02,3.74,9.35,1.87,5.61,0,0,0.93,0,0,0,0,0,0,0,0,13.08,7.48,3.74,0,0,0,0,1.87,0,0,0,0,Faculty of Information Technology,F
3360,11,80.14,99,85.21,99,5.5,18.18,100,63.64,27.27,18.18,0,0,18.18,0,0,9.09,9.09,18.18,0,0,9.09,0,9.09,0,0,0,0,0,18.18,18.18,0,0,0,0,18.18,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0,Faculty of Information Technology,M
