Unique_ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,unit_faculty,demographic_sex
1450,56,58.73,36.03,41.07,6.15,14,25,80.36,46.43,7.14,3.57,0,0,3.57,0,0,3.57,3.57,12.5,5.36,10.71,7.14,3.57,12.5,5.36,1.79,8.93,3.57,3.57,12.5,5.36,7.14,0,3.57,0,3.57,0,0,0,0,28.57,3.57,10.71,3.57,7.14,0,7.14,1.79,1.79,0,0,0,0,0,0,0,10.71,0,3.57,0,3.57,3.57,1.79,7.14,0,12.5,3.57,3.57,5.36,1.79,0,0,0,0,0,1.79,0,0,1.79,0,0,16.07,1.79,1.79,0,0,3.57,0,3.57,0,1.79,3.57,0,Faculty of Art Des & Architecture,F
2579,119,83.06,84.34,71.29,84.87,13.22,27.73,87.39,43.7,8.4,3.36,0,0,3.36,0,0,5.04,7.56,10.92,10.08,3.36,4.2,0,13.45,8.4,3.36,1.68,5.04,0.84,4.2,3.36,0,0,0,0,12.61,0,0,0,0,12.61,5.04,1.68,0.84,1.68,0,5.88,0.84,0,0,0.84,0.84,0.84,0,0,0,10.08,2.52,2.52,4.2,0.84,0.84,0,14.29,0.84,14.29,3.36,5.04,5.88,7.56,0,0,0,0,0,0,0,0,0,0,0,7.56,7.56,0,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,M
3166,74,51.94,24.95,71.04,97.99,12.33,18.92,89.19,45.95,16.22,13.51,12.16,0,1.35,0,0,2.7,2.7,16.22,9.46,6.76,6.76,0,18.92,6.76,2.7,1.35,0,2.7,5.41,5.41,0,0,0,0,4.05,0,0,0,0,12.16,2.7,4.05,1.35,0,4.05,0,4.05,4.05,0,0,0,0,0,0,0,14.86,1.35,2.7,4.05,6.76,0,2.7,18.92,0,10.81,0,5.41,6.76,12.16,0,1.35,1.35,0,0,0,0,0,0,0,0,17.57,4.05,2.7,0,0,0,4.05,0,0,6.76,0,0,Faculty of Art Des & Architecture,M
2584,63,72.21,95.95,47.57,7.46,21,25.4,82.54,46.03,11.11,7.94,0,3.17,0,3.17,1.59,3.17,3.17,15.87,6.35,3.17,11.11,0,14.29,7.94,3.17,0,0,0,1.59,0,1.59,0,0,0,14.29,0,0,0,3.17,6.35,4.76,3.17,0,0,0,0,0,0,0,0,6.35,1.59,6.35,0,0,14.29,7.94,3.17,1.59,0,1.59,0,15.87,0,19.05,4.76,12.7,1.59,3.17,6.35,0,0,0,0,0,0,0,0,0,0,11.11,3.17,4.76,0,0,0,0,0,0,3.17,0,0,Faculty of Art Des & Architecture,M
2180,101,90.04,46.04,19.51,43.84,25.25,27.72,84.16,53.47,7.92,1.98,0,0,0,0,1.98,5.94,8.91,17.82,6.93,6.93,6.93,0.99,9.9,2.97,1.98,0,0,0.99,4.95,2.97,1.98,0,0.99,0.99,4.95,0,0,0,0,12.87,5.94,2.97,0.99,0.99,0,4.95,0.99,0,0,0,0.99,0,0.99,0,0,9.9,0.99,3.96,2.97,1.98,0.99,2.97,5.94,0,5.94,0,5.94,0,9.9,0,0,9.9,0,0,0.99,0,0,0,0.99,0,7.92,3.96,1.98,0,0,0,0,0.99,0,0.99,0,0,Faculty of Art Des & Architecture,F
63,124,77.26,99,24.89,99,24.8,26.61,91.94,45.97,14.52,8.06,0.81,5.65,0,0,1.61,6.45,3.23,16.13,5.65,2.42,7.26,0,16.13,4.84,4.84,3.23,0,1.61,11.29,10.48,0.81,0.81,0,0,20.16,0,0,0,0,13.71,3.23,4.03,1.61,2.42,0.81,1.61,0.81,0.81,0,0,0,0,0,0,0,18.55,8.06,4.84,7.26,4.03,0,2.42,9.68,0,12.9,3.23,6.45,3.23,13.71,0,0,7.26,0,0,0,0,0,0,0,0,11.29,3.23,4.84,0,0,0.81,0,1.61,0,0.81,0,0,Faculty of Art Des & Architecture,M
637,201,90.62,38.25,11.94,99,18.27,15.92,81.59,53.73,7.46,1.99,1,0.5,0.5,0,0,5.47,16.42,10.95,9.95,5.47,4.98,1.99,16.92,4.98,2.99,1,1.99,4.48,6.97,6.47,0.5,0.5,0,0,2.99,0,0,0,0,17.91,3.48,4.98,2.99,3.98,1,3.98,1,0,0,1,1,0.5,0,0,0.5,8.46,1,3.48,2.99,2.99,0.5,0.5,11.44,1.49,8.46,0,4.98,2.99,3.48,0,0,0,0,0,0,0,0,0,0,0,13.93,5.47,5.47,0,0,0,0,2.49,0,0.5,0,0,Faculty of Art Des & Architecture,M
1343,77,98.34,34.83,13.15,74.18,12.83,29.87,74.03,46.75,3.9,0,0,0,0,0,0,3.9,11.69,16.88,5.19,2.6,5.19,2.6,12.99,1.3,0,1.3,1.3,1.3,2.6,2.6,0,0,0,0,2.6,0,0,0,0,20.78,9.09,5.19,3.9,0,0,3.9,1.3,0,0,1.3,0,0,0,0,0,5.19,0,2.6,0,2.6,0,0,10.39,0,5.19,0,3.9,1.3,7.79,0,0,1.3,0,0,0,0,0,0,0,0,15.58,7.79,0,1.3,0,0,0,2.6,2.6,1.3,0,0,Faculty of Art Des & Architecture,F
2008,84,99,68.29,23.51,99,21,30.95,84.52,46.43,4.76,3.57,2.38,0,1.19,0,0,1.19,19.05,15.48,3.57,0,3.57,0,9.52,8.33,5.95,0,1.19,4.76,5.95,5.95,0,0,0,0,5.95,1.19,0,0,1.19,4.76,3.57,1.19,0,0,0,0,4.76,3.57,1.19,0,2.38,0,0,0,2.38,9.52,1.19,3.57,7.14,1.19,0,2.38,5.95,0,10.71,0,8.33,2.38,1.19,2.38,0,0,0,0,0,0,0,0,0,0,9.52,4.76,3.57,0,0,0,0,1.19,0,0,0,0,Faculty of Art Des & Architecture,M
3908,101,88.74,18.65,90.06,90.82,20.2,15.84,94.06,59.41,19.8,9.9,8.91,0.99,0,0,0,9.9,7.92,21.78,4.95,5.94,1.98,0.99,15.84,5.94,3.96,1.98,0,1.98,3.96,3.96,0,0,0,0,2.97,0.99,0,0,0,14.85,7.92,0.99,0.99,1.98,0,2.97,0,0,0,0,2.97,0.99,1.98,0,0,9.9,1.98,5.94,1.98,0.99,0,2.97,12.87,0,9.9,0.99,4.95,3.96,4.95,0,0,1.98,0.99,0,0.99,0,0,0,0.99,0,13.86,4.95,4.95,0,0,0,0,0.99,0,2.97,0,0,Faculty of Art Des & Architecture,F
581,80,78.3,64.63,15.86,88.96,40,18.75,76.25,47.5,7.5,6.25,3.75,0,1.25,1.25,0,1.25,7.5,12.5,10,6.25,5,1.25,13.75,0,1.25,1.25,1.25,0,6.25,5,1.25,1.25,0,0,8.75,0,1.25,0,1.25,13.75,6.25,2.5,1.25,5,1.25,1.25,3.75,3.75,0,0,2.5,2.5,0,0,0,3.75,1.25,1.25,1.25,0,0,1.25,13.75,1.25,6.25,2.5,2.5,1.25,0,1.25,0,0,0,0,3.75,0,2.5,0,0,0,18.75,2.5,1.25,0,1.25,3.75,1.25,1.25,0,0,0,7.5,Faculty of Art Des & Architecture,F
3800,207,47.75,34.95,70.06,78.8,18.82,15.94,83.57,60.39,16.91,13.04,8.21,1.45,2.42,0,0.97,3.86,8.7,13.53,11.59,6.28,6.76,2.42,15.94,3.38,2.42,1.45,2.42,2.42,2.9,2.9,0,0,0,0,7.73,0,0,0.97,0.48,16.91,3.38,2.9,0,2.42,3.86,4.83,1.93,0.48,0.48,0.97,2.42,1.93,0.48,0.48,0,4.35,1.93,0,0.97,1.45,0,2.42,12.56,0,7.73,1.45,3.38,3.86,0.97,0,0,0,0,0,0.48,0,0,0.48,0,0,13.04,4.83,2.9,0,0,0,0.48,0.48,0,4.35,0,0,Faculty of Art Des & Architecture,F
1712,15,8.69,50,82.75,99,15,13.33,100,60,26.67,13.33,6.67,0,6.67,0,0,13.33,6.67,6.67,20,0,0,6.67,26.67,0,0,0,0,0,13.33,13.33,0,0,0,0,6.67,0,0,0,0,13.33,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,6.67,0,0,6.67,0,0,Faculty of Art Des & Architecture,F
3258,96,7.99,54.16,62.53,92.4,24,18.75,95.83,58.33,19.79,9.38,6.25,2.08,1.04,0,0,10.42,3.12,10.42,13.54,5.21,11.46,4.17,25,6.25,2.08,2.08,0,0,10.42,7.29,3.12,1.04,0,1.04,13.54,0,0,0,0,20.83,5.21,3.12,1.04,5.21,3.12,5.21,1.04,0,1.04,0,1.04,0,0,0,1.04,11.46,3.12,4.17,0,2.08,3.12,1.04,18.75,3.12,7.29,0,3.12,4.17,5.21,1.04,0,0,0,0,0,0,0,0,0,0,13.54,4.17,5.21,0,1.04,0,0,0,0,3.12,0,0,Faculty of Art Des & Architecture,F
1003,16,93.26,50,74.76,25.77,8,25,81.25,43.75,18.75,12.5,12.5,0,0,0,0,6.25,6.25,18.75,6.25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,6.25,0,0,6.25,0,0,6.25,6.25,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,6.25,0,6.25,0,0,6.25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,18.75,18.75,0,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,F
1175,9,1,99,1,99,9,0,100,55.56,33.33,11.11,0,0,11.11,0,0,22.22,0,0,11.11,0,11.11,0,33.33,0,0,0,0,0,11.11,11.11,0,0,0,0,22.22,0,11.11,0,11.11,11.11,0,0,11.11,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,33.33,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,M
1090,102,64.67,53.92,47.25,99,14.57,42.16,83.33,50,9.8,1.96,0,0,0,0,1.96,7.84,3.92,14.71,8.82,6.86,6.86,1.96,14.71,4.9,0.98,0.98,0,0,10.78,8.82,1.96,1.96,0,0,7.84,0,0,0,0,17.65,4.9,4.9,0,3.92,0.98,4.9,2.94,0.98,0,0.98,0.98,0,0.98,0,0,11.76,2.94,5.88,1.96,2.94,0.98,0.98,10.78,2.94,10.78,0,2.94,6.86,3.92,0.98,0,0,1.96,0,0,0,0,0,0,0,16.67,6.86,7.84,0,0,0,0,1.96,0,0,0,0,Faculty of Art Des & Architecture,M
653,43,84.1,59.18,34.47,69.6,21.5,30.23,79.07,44.19,6.98,2.33,0,0,0,0,2.33,4.65,11.63,9.3,6.98,4.65,9.3,0,11.63,2.33,2.33,2.33,4.65,0,2.33,2.33,0,0,0,0,4.65,0,0,0,0,16.28,0,13.95,0,0,0,2.33,0,0,0,0,2.33,0,2.33,0,0,6.98,0,0,2.33,4.65,0,0,11.63,0,16.28,9.3,6.98,0,4.65,0,0,0,0,0,0,0,0,0,0,0,11.63,4.65,2.33,0,0,0,0,0,0,0,4.65,0,Faculty of Art Des & Architecture,M
20,8,93.26,50,1,25.77,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,0,0,0,0,0,0,12.5,0,0,100,0,Faculty of Art Des & Architecture,F
402,28,48.63,98.33,1,87.2,9.33,25,71.43,50,14.29,7.14,0,0,7.14,0,0,7.14,3.57,10.71,17.86,3.57,0,0,21.43,0,0,7.14,7.14,0,3.57,3.57,0,0,0,0,14.29,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,3.57,0,0,7.14,14.29,0,3.57,0,3.57,0,7.14,0,0,0,0,0,0,0,0,0,0,0,21.43,3.57,0,0,0,10.71,0,0,0,0,7.14,0,Faculty of Art Des & Architecture,F
2450,76,94.39,55.22,6.36,74.74,15.2,23.68,85.53,40.79,3.95,1.32,0,0,0,0,1.32,2.63,5.26,15.79,6.58,1.32,6.58,1.32,13.16,9.21,5.26,0,1.32,1.32,10.53,6.58,3.95,1.32,0,0,3.95,0,0,0,0,11.84,2.63,3.95,3.95,1.32,0,1.32,0,0,0,0,1.32,1.32,0,0,0,15.79,0,6.58,5.26,3.95,2.63,2.63,13.16,0,11.84,0,5.26,6.58,7.89,0,0,3.95,0,0,0,0,0,0,0,0,18.42,6.58,7.89,0,0,0,0,1.32,0,2.63,0,0,Faculty of Art Des & Architecture,M
686,24,88.46,20.24,7.84,92.4,24,33.33,58.33,33.33,4.17,4.17,4.17,0,0,0,0,0,8.33,8.33,8.33,4.17,4.17,0,16.67,4.17,4.17,4.17,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,20.83,0,12.5,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,4.17,0,0,4.17,0,0,8.33,4.17,0,4.17,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,8.33,4.17,4.17,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,F
304,233,97.79,53.43,12.72,80.28,25.89,25.32,84.12,45.92,8.58,3,1.29,0.43,0,0,1.29,5.58,10.73,16.74,5.15,1.72,3.86,0.86,13.3,5.58,4.72,1.29,1.29,2.58,6.44,4.72,1.72,0.43,0,0.86,5.15,0,0,0,0,13.73,3,4.72,3,1.29,0,2.58,1.29,0.43,0.86,0,0,0,0,0,0,11.59,1.72,4.72,5.58,3,0.86,0.43,9.87,1.29,10.3,1.29,8.15,0.43,10.3,2.15,0,5.58,0,0,0,0,0,0,0,0,12.45,3.86,5.58,0.43,0,0,0,2.15,0,0.43,0,0,Faculty of Art Des & Architecture,F
1262,83,22.94,35.87,54.56,99,16.6,21.69,96.39,61.45,19.28,8.43,2.41,0,0,0,6.02,10.84,7.23,8.43,16.87,1.2,8.43,1.2,22.89,7.23,0,1.2,1.2,1.2,14.46,10.84,3.61,3.61,0,0,7.23,0,0,0,0,26.51,3.61,7.23,1.2,6.02,6.02,7.23,1.2,1.2,0,0,0,0,0,0,0,15.66,0,10.84,6.02,4.82,0,1.2,20.48,2.41,9.64,2.41,2.41,4.82,1.2,0,0,0,0,0,1.2,0,0,1.2,0,0,7.23,6.02,0,0,0,0,0,0,0,1.2,0,0,Faculty of Art Des & Architecture,F
1711,10,52.71,97.69,3.37,25.77,10,30,80,60,30,10,0,0,10,0,0,20,10,10,10,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,20,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,Faculty of Art Des & Architecture,F
1582,194,67.91,80.95,20.15,73.86,19.4,16.49,88.66,51.55,11.86,7.22,2.58,0,1.03,0,3.61,4.64,5.15,14.95,8.76,5.67,6.19,2.06,12.37,3.09,2.58,3.09,2.06,1.55,6.19,4.12,1.55,0,0,0,14.95,0,0,3.09,0,13.92,3.61,4.64,3.09,2.06,0.52,2.58,2.06,1.03,1.03,0,1.03,0.52,0,0.52,0,7.22,1.03,1.03,2.58,1.03,1.55,1.55,11.86,0,10.31,0,8.25,1.55,2.06,0,0,0,0.52,0,1.55,0,0,1.55,0,0,14.43,4.12,4.12,0.52,0,0,1.03,0,3.09,0.52,1.03,0,Faculty of Art Des & Architecture,F
2443,134,85.77,85.2,63.91,39.08,26.8,14.93,88.81,56.72,11.19,7.46,2.24,4.48,0.75,0,0,3.73,9.7,17.91,8.96,7.46,5.97,0,14.93,6.72,5.22,2.24,5.22,3.73,3.73,2.24,1.49,0.75,0,0,11.19,0,0,0,0,11.94,4.48,0.75,1.49,2.24,0.75,3.73,0.75,0,0.75,0,1.49,0.75,0.75,0,0,12.69,5.22,0.75,3.73,0.75,2.24,1.49,10.45,0,14.18,1.49,8.96,3.73,0,2.24,0,2.24,0,0,0.75,0,0,0.75,0,0,15.67,3.73,9.7,0,0,0,0,0,0,0,0,2.24,Faculty of Art Des & Architecture,F
1107,176,67.04,45.48,64.91,90.96,22,22.16,85.23,52.84,13.64,7.95,5.11,0.57,0,0,2.27,5.68,7.95,12.5,10.23,4.55,6.25,0.57,17.05,7.95,3.98,3.41,0,2.84,4.55,3.98,0,0,0,0,6.25,0,0,0,0,17.61,6.82,1.7,5.11,1.7,0,2.27,1.14,0,0,1.14,0,0,0,0,0,10.23,2.27,3.98,5.11,0.57,0,0.57,9.09,0,14.2,1.14,8.52,3.98,5.11,0,0,0,0,0,0,0,0,0,0,0,12.5,4.55,6.82,0,0,0,0,0,0.57,0.57,0,0,Faculty of Art Des & Architecture,M
1721,113,83.92,73.22,57.44,94.08,28.25,29.2,84.07,50.44,8.85,3.54,0.88,1.77,0.88,0,0,5.31,7.96,16.81,7.96,5.31,9.73,0,10.62,9.73,7.08,3.54,1.77,2.65,5.31,4.42,0,0,0,0,7.08,0,0,0,0,7.96,1.77,0,0.88,0.88,1.77,2.65,0,0,0,0,0.88,0,0.88,0,0,8.85,2.65,1.77,5.31,1.77,0,0.88,8.85,2.65,17.7,0,10.62,6.19,7.96,0,0,0,0,0,0,0,0,0,0,0,11.5,3.54,7.96,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,M
477,97,88.52,62.16,78.69,81.5,24.25,35.05,88.66,44.33,8.25,4.12,0,1.03,0,0,3.09,4.12,4.12,18.56,5.15,6.19,6.19,1.03,12.37,10.31,8.25,2.06,0,5.15,5.15,4.12,1.03,0,0,0,9.28,0,0,0,0,15.46,4.12,3.09,1.03,2.06,2.06,6.19,1.03,0,1.03,0,1.03,0,1.03,0,0,17.53,9.28,5.15,4.12,0,1.03,2.06,10.31,1.03,16.49,2.06,9.28,5.15,14.43,0,0,4.12,0,0,0,0,0,0,0,0,12.37,4.12,3.09,0,0,0,0,0,0,5.15,0,0,Faculty of Art Des & Architecture,M
2403,56,80.46,85.81,41.07,25.77,28,16.07,78.57,46.43,8.93,3.57,1.79,0,1.79,0,0,5.36,8.93,12.5,8.93,3.57,8.93,0,14.29,5.36,5.36,0,10.71,1.79,0,0,0,0,0,0,12.5,0,0,1.79,1.79,12.5,5.36,3.57,0,5.36,1.79,1.79,1.79,0,1.79,0,1.79,0,1.79,0,0,1.79,1.79,0,0,0,0,0,8.93,1.79,10.71,0,5.36,5.36,3.57,0,0,0,0,0,0,0,0,0,0,0,14.29,1.79,3.57,3.57,0,1.79,0,0,0,3.57,0,0,Faculty of Art Des & Architecture,F
3705,79,83,50,3.53,49.32,15.8,22.78,68.35,45.57,7.59,5.06,1.27,0,0,3.8,0,2.53,5.06,16.46,7.59,5.06,7.59,1.27,10.13,2.53,0,1.27,0,3.8,3.8,2.53,1.27,0,0,0,8.86,0,0,3.8,0,13.92,2.53,1.27,2.53,6.33,1.27,6.33,2.53,0,0,2.53,1.27,1.27,0,0,0,5.06,2.53,0,1.27,1.27,0,0,8.86,2.53,6.33,0,6.33,0,7.59,0,0,1.27,0,0,0,0,0,0,0,0,26.58,5.06,5.06,0,0,2.53,1.27,1.27,2.53,3.8,0,5.06,Faculty of Art Des & Architecture,M
155,122,86.14,85.67,11.95,99,17.43,40.98,91.8,36.07,4.1,1.64,0.82,0,0,0,0.82,2.46,4.92,11.48,4.92,3.28,9.02,0.82,12.3,5.74,2.46,0.82,0,2.46,12.3,11.48,0.82,0,0.82,0,15.57,0,0,0,0,14.75,4.92,3.28,1.64,0,1.64,3.28,0.82,0.82,0,0,0.82,0,0.82,0,0,18.85,2.46,6.56,6.56,3.28,0.82,0.82,11.48,0.82,6.56,2.46,3.28,1.64,17.21,0.82,0,0.82,0,0,0,0,0,0,0,0,13.93,5.74,6.56,1.64,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,F
3313,108,62.04,94.21,19.04,88.52,18,15.74,93.52,62.04,15.74,8.33,0,6.48,1.85,0,0,7.41,6.48,16.67,12.04,2.78,7.41,1.85,17.59,6.48,2.78,3.7,0,2.78,7.41,5.56,1.85,0.93,0,0,12.96,0,0,0,0,12.96,1.85,3.7,2.78,0.93,0,3.7,0,0,0,0,1.85,0,1.85,0,0,16.67,6.48,4.63,6.48,3.7,0,0.93,11.11,0.93,12.96,1.85,8.33,1.85,2.78,0,0,3.7,1.85,0,0,0,0,0,0,0,10.19,4.63,2.78,0,0,0.93,0,0,1.85,0,0,0,Faculty of Art Des & Architecture,M
1432,37,97.01,50,21.26,75.85,37,29.73,43.24,21.62,0,0,0,0,0,0,0,0,8.11,5.41,5.41,0,2.7,0,8.11,5.41,5.41,0,5.41,2.7,2.7,2.7,0,0,0,0,2.7,0,0,0,0,5.41,2.7,0,0,5.41,0,2.7,2.7,2.7,0,0,0,0,0,0,0,2.7,0,0,2.7,0,0,0,8.11,0,10.81,2.7,5.41,2.7,0,0,0,0,0,0,2.7,0,2.7,0,0,0,64.86,8.11,5.41,2.7,0,5.41,0,10.81,16.22,0,0,16.22,Faculty of Art Des & Architecture,M
2391,64,91.68,89.42,55.79,81.93,32,25,82.81,53.12,14.06,9.38,3.12,0,6.25,0,0,4.69,10.94,17.19,7.81,3.12,4.69,0,15.62,3.12,3.12,0,0,1.56,6.25,4.69,1.56,0,1.56,0,9.38,0,0,0,0,15.62,7.81,9.38,1.56,0,0,0,3.12,3.12,0,0,0,0,0,0,0,3.12,0,3.12,0,0,0,4.69,6.25,0,12.5,0,9.38,3.12,0,0,1.56,0,0,0,0,0,0,0,0,0,7.81,3.12,3.12,0,0,0,0,0,0,1.56,0,0,Faculty of Art Des & Architecture,M
746,308,83.23,80.96,24.62,94.75,23.69,34.09,87.01,40.91,10.71,3.9,0.65,0.65,1.62,0,0.97,6.82,5.19,13.64,4.22,4.22,6.49,0.65,13.31,10.06,4.87,2.27,2.6,1.62,7.79,6.17,1.62,0.65,0.32,0.32,9.74,0,0,0,0,20.13,6.49,7.47,2.27,4.55,1.3,1.95,0.65,0.65,0,0,0,0,0,0,0,13.64,0.65,9.42,3.25,1.62,0.32,2.92,9.74,0.65,10.06,2.6,4.55,4.22,11.36,0,0,0,0,0,0,0,0,0,0,0,14.61,3.25,5.52,0.32,0.65,0.97,0,0,1.95,1.3,0.65,0,Faculty of Art Des & Architecture,M
2152,246,74.37,61.21,90.48,88.08,22.36,22.76,90.24,50,8.94,4.47,2.03,0.81,1.63,0,0,4.47,6.91,13.01,8.54,6.5,6.5,1.22,14.23,7.32,5.28,1.63,2.85,1.63,5.28,4.47,0.81,0.41,0,0,5.69,0,0,0,0,15.45,5.69,3.66,1.63,2.03,1.63,2.03,0.41,0,0,0.41,0.81,0,0.41,0,0.41,10.98,0.81,4.88,4.88,1.22,0.41,1.22,12.2,1.22,20.73,4.88,8.13,8.94,9.35,0.41,0,0.81,0,0,0,0,0,0,0,0,10.16,4.47,2.85,0,0,0,0,0.41,0.81,1.22,0,0.41,Faculty of Art Des & Architecture,F
585,445,89.23,48.2,46.33,42.06,26.18,22.25,75.28,48.99,8.31,1.35,0.9,0.22,0.22,0,0,6.97,11.01,13.26,8.99,4.94,4.94,0.67,11.69,3.6,2.7,2.25,3.6,2.7,1.8,1.35,0.45,0,0,0.22,3.15,0,0.22,0,0,9.89,2.47,0.45,0.67,3.6,1.12,2.47,2.7,2.02,0.22,0.22,1.12,0.67,0.22,0,0.22,4.27,1.8,0.45,0.67,1.35,0.22,3.6,7.64,2.02,15.28,0.9,9.21,4.94,1.57,0.22,0,0.22,0,0,0.22,0,0.22,0,0,0,14.38,2.92,2.47,0.67,0,0.45,0.22,1.57,0.22,2.47,2.7,0.67,Faculty of Art Des & Architecture,F
2553,89,92.16,32.66,66.74,68.2,22.25,32.58,84.27,40.45,1.12,0,0,0,0,0,0,1.12,6.74,15.73,4.49,5.62,10.11,2.25,5.62,10.11,7.87,1.12,1.12,5.62,6.74,4.49,2.25,1.12,1.12,0,3.37,0,1.12,0,0,13.48,4.49,3.37,1.12,2.25,1.12,5.62,1.12,0,0,0,0,0,0,0,0,10.11,5.62,0,4.49,0,0,1.12,7.87,0,14.61,2.25,8.99,4.49,8.99,0,0,2.25,0,0,0,0,0,0,0,0,15.73,4.49,6.74,0,0,0,0,1.12,0,3.37,0,0,Faculty of Art Des & Architecture,M
1996,38,42.26,60.39,99,99,9.5,28.95,92.11,47.37,15.79,13.16,7.89,0,5.26,0,0,2.63,7.89,7.89,2.63,10.53,10.53,0,10.53,5.26,0,0,0,2.63,10.53,10.53,0,0,0,0,10.53,0,0,0,0,18.42,7.89,0,0,5.26,0,5.26,2.63,2.63,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,5.26,5.26,0,15.79,2.63,10.53,2.63,5.26,2.63,2.63,0,0,0,2.63,0,0,0,0,0,15.79,10.53,2.63,0,0,0,0,0,0,2.63,0,0,Faculty of Art Des & Architecture,M
35,48,88.46,79.76,3.9,99,48,27.08,54.17,33.33,8.33,6.25,2.08,0,4.17,0,0,2.08,8.33,8.33,8.33,2.08,2.08,0,12.5,2.08,2.08,4.17,4.17,0,6.25,6.25,0,0,0,0,6.25,0,0,0,0,8.33,6.25,2.08,0,2.08,0,0,2.08,2.08,0,0,0,0,0,0,0,6.25,0,2.08,2.08,4.17,0,0,10.42,0,2.08,0,2.08,0,4.17,0,0,0,0,0,2.08,0,2.08,0,0,0,43.75,12.5,0,2.08,0,6.25,0,12.5,0,0,0,10.42,Faculty of Art Des & Architecture,M
811,3,93.26,50,1,25.77,3,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,Faculty of Art Des & Architecture,F
1850,172,79.72,50,49.53,10.92,15.64,30.81,84.3,44.77,9.88,2.33,0.58,0,0,0,1.74,7.56,6.98,13.37,6.98,4.07,8.14,0.58,13.95,3.49,3.49,2.33,0,5.81,4.65,1.74,2.91,1.74,0.58,0.58,2.91,0,0,0,0,17.44,5.81,4.07,1.74,5.23,1.16,1.16,0.58,0,0,0.58,1.16,0,1.16,0,0,6.4,0,2.33,3.49,1.74,0.58,1.16,8.14,0.58,15.12,3.49,8.14,3.49,6.98,0,0,3.49,0,0,0.58,0.58,0,0,0,0,15.12,6.4,6.4,0,0,0,0,0,0,1.16,1.16,0,Faculty of Art Des & Architecture,M
765,64,56.25,96.95,7.84,1,64,29.69,87.5,46.88,14.06,10.94,1.56,9.38,0,0,0,3.12,4.69,10.94,9.38,3.12,7.81,0,20.31,1.56,1.56,1.56,0,3.12,7.81,0,7.81,7.81,0,0,10.94,0,0,0,0,20.31,4.69,1.56,4.69,9.38,1.56,0,1.56,0,1.56,0,0,0,0,0,0,21.88,9.38,4.69,3.12,1.56,3.12,1.56,15.62,3.12,10.94,1.56,6.25,3.12,4.69,0,0,1.56,0,0,0,0,0,0,0,0,9.38,4.69,4.69,0,0,0,0,0,0,0,0,0,Faculty of Art Des & Architecture,M
